ip,entity,first_limit,first_offset,avg_limit_usage_ratio,avg_sent_ratio,safe_duration_days,avg_time_gap_min,average_time_gap_min,avg_growth_rate,avg_drops_per_day,maximum_safe_volume,max_daily_volume,first_sent_per_ip,recommended_initial_volume,recommended_growth_rate,recommended_drops_per_day,recommended_time_gap_min,recommended_max_safe_volume
23.19.114.9,cmh2,3200,12,1.0,0.8439999999999999,3,240.905,240.905,0.07726318503421913,7.454545454545454,31826,31826,3200,3610,0.0046,5,167,41071
23.231.25.47,cmh9,3000,360000,0.378695652173913,0.9212173913043478,2,167.05217391304348,167.05217391304348,1.2407508241421272,7.521739130434782,59655,59655,996,1191,0.0007,7,173,40905
23.231.25.49,cmh9,3000,360000,0.40458333333333335,1.0000833333333332,2,160.09166666666667,160.09166666666667,1.1890528731362053,7.333333333333333,59655,59655,996,996,0.0001,7,173,40899
23.231.25.51,cmh9,3000,360000,0.40458333333333335,1.0000833333333332,2,160.09166666666667,160.09166666666667,1.1890528731362053,7.333333333333333,59655,59655,996,996,0.0001,7,173,40899
23.231.25.52,cmh9,3000,360000,0.40458333333333335,1.000125,2,160.09166666666667,160.09166666666667,1.1898865807527648,7.333333333333333,59655,59655,996,996,0.0001,7,173,40899
23.231.25.53,cmh9,3000,360000,0.40454166666666663,1.000125,2,160.09166666666667,160.09166666666667,1.1898880374076557,7.333333333333333,59655,59655,996,996,0.0001,7,173,40899
23.231.25.54,cmh9,3000,360000,0.40454166666666663,1.000125,2,160.09166666666667,160.09166666666667,1.1898880374076557,7.333333333333333,59655,59655,996,996,0.0001,7,173,40899
23.231.25.55,cmh9,3000,360000,0.40454166666666663,0.9992083333333334,2,160.09166666666667,160.09166666666667,1.1898846975966326,7.333333333333333,59655,59655,996,996,0.0001,7,173,40899
23.231.25.56,cmh9,3000,360000,0.40458333333333335,1.0000833333333332,2,160.09166666666667,160.09166666666667,1.1898846975966326,7.333333333333333,59655,59655,996,996,0.0001,7,173,40899
23.231.25.57,cmh9,3000,360000,0.37873913043478263,0.9769130434782609,2,167.05217391304348,167.05217391304348,1.24176673469908,7.521739130434782,59655,59655,995,1131,0.0007,7,173,40905
23.231.25.58,cmh9,3000,360000,0.4046666666666667,1.0000833333333332,2,160.09166666666667,160.09166666666667,1.1900264540866183,7.333333333333333,59655,59655,995,996,0.0001,7,173,40899
23.231.25.59,cmh9,3000,360000,0.4047083333333333,1.0000416666666667,2,160.09166666666667,160.09166666666667,1.1900271274146474,7.333333333333333,59654,59654,995,995,0.0001,7,173,40899
23.231.25.61,cmh9,3000,360000,0.4047083333333333,1.0000416666666667,2,160.09166666666667,160.09166666666667,1.1899801807103054,7.333333333333333,59653,59653,995,995,0.0001,7,173,40899
23.231.25.62,cmh9,3000,360000,0.4047083333333333,1.0000416666666667,2,160.09166666666667,160.09166666666667,1.1899811899256312,7.333333333333333,59653,59653,995,995,0.0001,7,173,40899
23.82.139.242,cmh2,3200,12,1.0,0.81648,3,212.9596,212.9596,0.06803120199994911,8.04,34824,34824,3200,3608,0.004,6,170,58201
5.135.75.177,cmh8,9300,44700,0.42189473684210527,0.632421052631579,2,112.81894736842105,112.81894736842105,0.26696842076367405,12.578947368421053,52042,52042,3100,3100,-0.1213,13,165,59205
5.135.75.178,cmh8,5660,60700,0.4997857142857143,0.5495,2,306.36571428571426,306.36571428571426,0.04698605383517064,3.857142857142857,21030,21030,2830,2943,0.0023,4,167,41390
5.135.75.179,cmh8,11700,33000,0.36930434782608695,0.8955217391304346,3,188.04130434782613,188.04130434782613,0.09478915500016115,7.608695652173913,45843,45843,3900,3880,0.0109,8,167,41917
5.135.75.180,cmh8,6700,54000,0.49222727272727274,0.48740909090909085,3,196.55045454545453,196.55045454545453,0.3589253150927736,6.2727272727272725,62760,62760,3350,3320,0.0086,6,162,41006
5.135.75.181,cmh8,3900,66360,0.7832333333333333,0.0,3,161.988,161.988,0.018954879364044264,8.466666666666667,61850,61850,3900,3183,-0.0007,9,170,58151
51.161.79.217,cmh2,5100,19312,1.0,0.83412,2,159.8264,159.8264,0.018293635463055086,7.8,52155,52155,5100,4011,0.0009,6,173,41065
51.254.12.38,cmh11,15600,249200,0.3285,0.99705,4,170.19875,170.19875,0.4680839157936331,8.65,100834,100834,4800,4800,-0.0077,9,172,77511
51.254.12.39,cmh11,15600,249200,0.3285,1.0001,4,170.19875,170.19875,0.4680901586809534,8.65,100834,100834,4800,4800,-0.0077,9,172,77511
51.254.12.40,cmh11,15600,249200,0.3285,1.0001,4,170.19875,170.19875,0.4680901586809534,8.65,100834,100834,4800,4800,-0.0077,9,172,77511
51.254.12.41,cmh11,15600,249200,0.33265853658536587,1.0000487804878049,4,166.04756097560974,166.04756097560974,0.462625747251099,8.75609756097561,118037,118037,4800,4800,-0.0077,9,172,77511
51.68.222.162,cmh2,3000,6412,0.9664814814814814,0.806962962962963,3,196.92777777777778,196.92777777777778,0.6273340946586599,8.555555555555555,65213,65213,3000,3567,0.0028,7,170,58149
51.75.164.228,cmh2,3000,6412,0.9664814814814814,0.9238518518518518,3,196.92777777777778,196.92777777777778,0.6281784042808446,8.555555555555555,65212,65212,3000,3567,0.003,7,170,58149
51.75.165.100,cmh2,3000,6412,1.0,1.0,0,0.0,0.0,0.0,1.0,3000,3000,3000,3000,0.0,1,0,0
51.75.165.108,cmh2,3000,6412,1.0,1.0,0,0.0,0.0,0.0,1.0,3000,3000,3000,3000,0.0,1,0,0
69.162.64.210,cmh11,20800,249200,0.2588888888888889,1.0,0,152.99666666666667,152.99666666666667,0.029420851155361312,7.222222222222222,41620,41620,4800,4840,0.0283,7,10,16913
69.162.64.212,cmh11,20800,249200,0.30272727272727273,0.9102727272727272,3,521.9181818181819,521.9181818181819,0.22641936336005541,6.2727272727272725,41619,41619,4800,4800,0.0294,6,153,41617
69.162.64.213,cmh11,20800,249200,0.20723076923076922,1.0,1,189.9953846153846,189.9953846153846,0.04394810481169288,6.846153846153846,41619,41619,4800,4800,0.0439,7,187,41619
69.162.64.214,cmh11,18200,65000,0.28300000000000003,1.0,0,24.404,24.404,0.036511877348113064,3.4,21998,21998,5200,5204,0.0349,3,10,13565
89.116.64.219,cmh9,6000,234000,0.9115172413793103,0.5458275862068965,2,143.86551724137934,143.86551724137934,0.11663183302951356,9.482758620689655,182646,182646,6000,3455,-0.0038,10,167,76231
89.116.64.220,cmh9,6000,234000,0.9115172413793103,0.5877931034482758,2,143.86551724137934,143.86551724137934,0.11663568625090663,9.482758620689655,182646,182646,6000,3455,-0.0038,10,167,76231
89.116.64.240,cmh9,6000,234000,0.9115172413793103,0.7044482758620689,2,143.86551724137934,143.86551724137934,0.11663568625090663,9.482758620689655,182646,182646,6000,3455,-0.0025,10,167,76231
89.117.12.14,cmh9,6000,234000,0.9114827586206896,0.766448275862069,2,143.86551724137934,143.86551724137934,0.11666026255868668,9.482758620689655,182646,182646,6000,3455,-0.0024,10,167,76231
89.117.12.18,cmh9,6000,234000,0.9049259259259259,0.8148148148148148,2,154.52222222222224,154.52222222222224,0.12467038784879156,8.555555555555555,141645,141645,6000,3521,-0.003,9,167,76231
89.117.12.21,cmh9,6000,234000,0.9032,0.9107,2,208.60500000000002,208.60500000000002,0.11521559761075761,6.7,58000,58000,6000,4011,0.0014,7,173,41026
89.117.12.26,cmh9,6000,234000,0.912,0.9545454545454546,2,189.6409090909091,189.6409090909091,0.1039687851298235,7.090909090909091,73000,73000,6000,3969,0.0065,7,175,59102
89.117.12.28,cmh9,6000,234000,0.9049259259259259,0.8985925925925926,2,154.52222222222224,154.52222222222224,0.12467412443177421,8.555555555555555,141645,141645,6000,3521,-0.0026,9,167,76231
89.117.12.45,cmh9,6000,234000,0.9032,1.0,2,208.60500000000002,208.60500000000002,0.11522064199778419,6.7,58000,58000,6000,3811,0.0014,7,173,41026
89.117.12.48,cmh9,6000,234000,0.9078095238095238,1.0,2,198.67142857142858,198.67142857142858,0.10678836652850195,6.809523809523809,68000,68000,6000,3811,0.0015,7,173,41016
89.117.12.8,cmh9,6000,234000,0.9032500000000001,0.7058500000000001,2,208.60500000000002,208.60500000000002,0.11561286239737696,6.6,73000,73000,6000,4011,0.0011,7,175,59112
89.117.12.9,cmh9,6000,234000,0.9078095238095238,0.7827142857142858,2,198.67142857142858,198.67142857142858,0.10927562584244489,6.809523809523809,73000,73000,6000,4011,0.0013,7,175,59102
91.223.3.150,cmh9,3000,0,0.5108529411764706,0.9073235294117648,4,172.8376470588235,172.8376470588235,0.7097095581021042,9.470588235294118,115573,115573,3000,2143,-0.0016,9,172,76226
91.223.3.186,cmh9,3000,0,0.5108529411764706,0.9118235294117647,4,172.8376470588235,172.8376470588235,0.7097116875804994,9.470588235294118,115572,115572,3000,2143,-0.0016,9,172,76226
91.223.3.187,cmh9,3000,0,0.5108823529411765,0.9118529411764706,4,172.8376470588235,172.8376470588235,0.7097116875804994,9.470588235294118,115572,115572,3000,2143,-0.0016,9,172,76226
91.223.3.189,cmh9,3000,0,0.5108823529411765,0.9116764705882353,4,172.8376470588235,172.8376470588235,0.709720459573101,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.194,cmh9,3000,0,0.5109117647058823,0.9118529411764706,4,172.8376470588235,172.8376470588235,0.709720459573101,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.195,cmh9,3000,0,0.5109117647058823,0.9096470588235295,4,172.8376470588235,172.8376470588235,0.7097244446272303,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.196,cmh9,3000,0,0.5109411764705882,0.9155588235294118,4,172.8376470588235,172.8376470588235,0.7097233567039954,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.197,cmh9,3000,0,0.5109411764705882,0.9117941176470589,4,172.8376470588235,172.8376470588235,0.7097233567039954,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.198,cmh9,3000,0,0.5109411764705882,0.9144411764705883,4,172.8376470588235,172.8376470588235,0.7097233567039954,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.199,cmh9,3000,0,0.5109411764705882,0.9633823529411766,4,172.8376470588235,172.8376470588235,0.7101351518885278,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.200,cmh9,3000,0,0.5109705882352942,0.9706470588235295,4,172.8376470588235,172.8376470588235,0.7101351518885278,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.204,cmh9,3000,0,0.5109705882352942,0.9706470588235295,4,172.8376470588235,172.8376470588235,0.7101351518885278,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.208,cmh9,3000,0,0.5109705882352942,0.9706470588235295,4,172.8376470588235,172.8376470588235,0.7101351518885278,9.470588235294118,115571,115571,3000,2143,-0.0016,9,172,76226
91.223.3.209,cmh9,3000,0,0.5109705882352942,0.9739117647058824,4,172.8376470588235,172.8376470588235,0.7101332872132017,9.470588235294118,115571,115571,3000,2123,-0.0016,9,172,76226
