FK_ID,Date,ID,Sent,R.Sent,Bounce,Total,Data.Interval,Server,Status,Offset,Limit,Server_Tab,Ips
"25548441,""04/10 (20:02:48)"",""134496203"",""2050"",""2052"",""0"",""2050"",""(270610 to 272660)"",""s_cmh8_3656"",""completed"",""268560"",""4100"",""s_cmh8_3656"","",,5.135.75.180,,,"""
"25548278,""04/10 (19:57:48)"",""134496004"",""1800"",""1804"",""0"",""1800"",""(202900 to 204700)"",""s_cmh8_3583"",""completed"",""202900"",""3600"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25548278,""04/10 (19:57:48)"",""134496005"",""1800"",""1802"",""0"",""1800"",""(204700 to 206500)"",""s_cmh8_3656"",""completed"",""202900"",""3600"",""s_cmh8_3656"","",,5.135.75.181,,,"""
"25548148,""04/10 (19:52:48)"",""134495838"",""2620"",""2622"",""0"",""2620"",""(265940 to 268560)"",""s_cmh8_3583"",""completed"",""260700"",""7860"",""s_cmh8_3583"","",,142.147.96.123,,,"""
"25548148,""04/10 (19:52:48)"",""134495839"",""2620"",""2622"",""0"",""2620"",""(263320 to 265940)"",""s_cmh8_3617"",""completed"",""260700"",""7860"",""s_cmh8_3617"","",,138.226.244.74,,,"""
"25548148,""04/10 (19:52:48)"",""134495840"",""2620"",""2622"",""0"",""2620"",""(260700 to 263320)"",""s_cmh8_3656"",""completed"",""260700"",""7860"",""s_cmh8_3656"","",,5.135.75.177,,,"""
"25547909,""04/10 (19:45:48)"",""134495529"",""900"",""904"",""0"",""900"",""(201100 to 202000)"",""s_cmh8_3583"",""completed"",""201100"",""1800"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25547909,""04/10 (19:45:48)"",""134495530"",""900"",""903"",""0"",""900"",""(202000 to 202900)"",""s_cmh8_3656"",""completed"",""201100"",""1800"",""s_cmh8_3656"","",,5.135.75.181,,,"""
"25547876,""04/10 (19:44:50)"",""134495476"",""6007"",""6013"",""0"",""6007"",""(367000 to 373007)"",""s_cmh9_5698"",""completed"",""367000"",""126000"",""s_cmh9_5698"","",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"""
"25547834,""04/10 (19:42:48)"",""134495430"",""1700"",""1704"",""0"",""1700"",""(259000 to 260700)"",""s_cmh8_3583"",""completed"",""255600"",""5100"",""s_cmh8_3583"","",,142.147.96.125,,,"""
