Date,Finished.At,Scheduled.At,Mailer,ID,Sent,R.Sent,SoftBounce,HardBounce,Total,Offer,Isp,Profile,Injected.Seeds,Server(s)
"14/04/2026 (17:57:17)","14/04/2026 (17:57:35)","","y.moghar","25703148","54000","18017","0","0","54000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (288000 to 342000)","0->1000","s_cmh2_6101"
"14/04/2026 (17:37:18)","14/04/2026 (17:39:23)","","y.moghar","25702501","168000","137406","0","4","168000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 168000)","0->1000","s_cmh9_5702"
"14/04/2026 (17:33:17)","14/04/2026 (17:33:36)","","y.moghar","25702228","102500","102509","0","6","102500","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (100000 to 202500)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (17:27:20)","14/04/2026 (17:28:25)","","y.moghar","25701906","216878","216873","0","0","216920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (156000 to 372920)","0->1000","2 s_cmh9_5687 s_cmh9_5689"
"14/04/2026 (17:27:17)","14/04/2026 (17:27:34)","","y.moghar","25701904","54000","18018","0","0","54000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (234000 to 288000)","0->1000","s_cmh2_6101"
"14/04/2026 (17:07:19)","14/04/2026 (17:09:10)","","y.moghar","25701129","156000","149391","0","0","156000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 156000)","0->1000","s_cmh9_5702"
"14/04/2026 (16:57:20)","14/04/2026 (16:58:44)","","y.moghar","25700632","288878","288546","0","0","288920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (84000 to 372920)","0->1000","2 s_cmh9_5687 s_cmh9_5689"
"14/04/2026 (16:57:17)","14/04/2026 (16:57:32)","","y.moghar","25700630","100000","100018","0","0","100000","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (0 to 100000)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (16:57:17)","14/04/2026 (16:57:48)","","y.moghar","25700629","105000","21482","0","0","105000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (129000 to 234000)","0->1000","s_cmh2_6101"
"14/04/2026 (12:23:17)","14/04/2026 (12:23:19)","","y.moghar","25689798","7250","0","0","0","7250","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (7250 to 14500)","0->1000","s_cmh8_3656"
