ip,date,daily_volume,sent_ratio,risk_label_encoded
5.135.75.178,2026-04-14,63090.0,0.657,1.0
5.135.75.178,2026-04-15,12500.0,0.0,2.0
5.135.75.179,2026-04-12,303030.0,0.854111111111111,0.4444444444444444
5.135.75.179,2026-04-13,412587.0,1.001,0.1111111111111111
5.135.75.179,2026-04-14,70950.0,0.9436666666666665,0.3333333333333333
5.135.75.179,2026-04-15,26000.0,0.5349999999999999,1.0
5.135.75.180,2026-04-12,46660.0,0.7507499999999999,0.5
5.135.75.180,2026-04-13,254450.0,0.7141428571428571,0.7142857142857143
5.135.75.180,2026-04-14,502080.0,0.33999999999999997,1.375
5.135.75.180,2026-04-15,36000.0,0.0003333333333333333,2.0
5.135.75.181,2026-04-12,348300.0,0.0,2.0
5.135.75.181,2026-04-13,525000.0,0.0,2.0
5.135.75.181,2026-04-14,494800.0,0.0,2.0
5.135.75.181,2026-04-15,56250.0,0.0,2.0
51.161.79.217,2026-04-13,46899.0,1.0006666666666666,1.0
51.161.79.217,2026-04-14,285320.0,0.9108571428571428,1.1428571428571428
51.161.79.217,2026-04-15,573705.0,0.7813636363636363,1.1818181818181819
51.161.79.217,2026-04-16,120000.0,0.72,1.25
51.254.12.38,2026-04-12,332936.0,1.0,0.0
51.254.12.38,2026-04-13,853974.0,1.0003636363636363,0.09090909090909091
51.254.12.38,2026-04-14,1008340.0,1.0001,0.3
51.254.12.38,2026-04-15,240000.0,0.9753999999999999,0.2
51.254.12.38,2026-04-16,588240.0,1.0,0.3333333333333333
51.254.12.39,2026-04-12,332936.0,1.0,0.0
51.254.12.39,2026-04-13,853974.0,1.0003636363636363,0.09090909090909091
51.254.12.39,2026-04-14,1008340.0,1.0,0.3
51.254.12.39,2026-04-15,240000.0,1.0,0.2
51.254.12.39,2026-04-16,588222.0,1.0,0.3333333333333333
51.254.12.40,2026-04-12,332936.0,1.0,0.0
51.254.12.40,2026-04-13,853974.0,1.0003636363636363,0.09090909090909091
51.254.12.40,2026-04-14,1008340.0,1.0,0.3
51.254.12.40,2026-04-15,240000.0,1.0,0.2
51.254.12.40,2026-04-16,588222.0,1.0,0.3333333333333333
51.254.12.41,2026-04-12,332928.0,1.0,0.0
51.254.12.41,2026-04-13,853974.0,1.000181818181818,0.09090909090909091
51.254.12.41,2026-04-14,1008340.0,1.0,0.3
51.254.12.41,2026-04-15,240000.0,1.0,0.2
51.254.12.41,2026-04-16,826259.0,1.0,0.42857142857142855
51.68.222.162,2026-04-12,3000.0,1.001,1.0
51.68.222.162,2026-04-13,58996.0,1.001,1.0
51.68.222.162,2026-04-14,181140.0,1.0005,1.0
51.68.222.162,2026-04-15,847769.0,0.7162307692307692,1.4615384615384615
51.68.222.162,2026-04-16,67500.0,0.48966666666666664,2.0
51.75.164.228,2026-04-12,3000.0,1.001,1.0
51.75.164.228,2026-04-13,58996.0,1.00075,1.0
51.75.164.228,2026-04-14,181140.0,1.0005,1.0
51.75.164.228,2026-04-15,847756.0,0.8463076923076922,1.1538461538461537
51.75.164.228,2026-04-16,67500.0,0.9783333333333334,1.0
51.75.165.100,2026-04-12,3000.0,1.0,1.0
51.75.165.108,2026-04-12,3000.0,1.0,1.0
69.162.64.210,2026-04-12,332960.0,1.0,0.0
69.162.64.210,2026-04-13,6200.0,1.0,0.0
69.162.64.212,2026-04-12,332952.0,1.0,0.0
69.162.64.212,2026-04-13,6200.0,1.0,0.0
69.162.64.212,2026-04-14,0.0,1.0,0.0
69.162.64.212,2026-04-15,0.0,1.0,0.0
69.162.64.212,2026-04-16,80000.0,0.5065,1.5
69.162.64.213,2026-04-12,332952.0,1.0,0.0
69.162.64.213,2026-04-13,188500.0,1.0,0.0
69.162.64.214,2026-04-12,87992.0,1.0,0.0
69.162.64.214,2026-04-13,6200.0,1.0,0.0
89.116.64.219,2026-04-13,427539.0,0.8798571428571428,1.0
89.116.64.219,2026-04-14,2191752.0,0.4546666666666666,1.4166666666666667
89.116.64.219,2026-04-15,355770.0,0.3571111111111111,1.4444444444444444
89.116.64.219,2026-04-16,7000.0,1.0,1.0
89.116.64.220,2026-04-13,427539.0,0.9917142857142858,0.8571428571428571
89.116.64.220,2026-04-14,2191752.0,0.42533333333333334,1.5
89.116.64.220,2026-04-15,355761.0,0.4444444444444444,1.4444444444444444
89.116.64.220,2026-04-16,7000.0,1.0,1.0
89.116.64.240,2026-04-13,427539.0,0.9907142857142858,0.8571428571428571
89.116.64.240,2026-04-14,2191752.0,0.65125,1.25
89.116.64.240,2026-04-15,355761.0,0.519888888888889,1.3333333333333333
89.116.64.240,2026-04-16,7000.0,1.0,1.0
89.117.12.14,2026-04-13,427539.0,1.0,0.8571428571428571
89.117.12.14,2026-04-14,2191752.0,0.6850833333333334,1.3333333333333333
89.117.12.14,2026-04-15,355752.0,0.6673333333333333,1.2222222222222223
89.117.12.14,2026-04-16,7000.0,1.0,1.0
89.117.12.18,2026-04-13,427539.0,1.0,0.8571428571428571
89.117.12.18,2026-04-14,1416450.0,0.7,1.2
89.117.12.18,2026-04-15,355752.0,0.7777777777777778,1.1111111111111112
89.117.12.18,2026-04-16,7000.0,1.0,1.0
89.117.12.21,2026-04-13,294462.0,1.0,0.8333333333333334
89.117.12.21,2026-04-14,232000.0,0.8345,1.25
89.117.12.21,2026-04-15,355752.0,0.8751111111111111,0.8888888888888888
89.117.12.21,2026-04-16,7000.0,1.0,1.0
89.117.12.26,2026-04-13,427532.0,1.0,0.8571428571428571
89.117.12.26,2026-04-14,365000.0,1.0,1.0
89.117.12.26,2026-04-15,355752.0,0.8888888888888888,0.8888888888888888
89.117.12.26,2026-04-16,7000.0,1.0,1.0
89.117.12.28,2026-04-13,427532.0,1.0,0.8571428571428571
89.117.12.28,2026-04-14,1416450.0,0.8010999999999999,1.1
89.117.12.28,2026-04-15,355752.0,0.9167777777777777,1.0
89.117.12.28,2026-04-16,7000.0,1.0,1.0
89.117.12.45,2026-04-13,294456.0,1.0,0.8333333333333334
89.117.12.45,2026-04-14,232000.0,1.0,1.0
89.117.12.45,2026-04-15,355752.0,1.0,0.7777777777777778
89.117.12.45,2026-04-16,7000.0,1.0,1.0
89.117.12.48,2026-04-13,294456.0,1.0,0.8333333333333334
89.117.12.48,2026-04-14,340000.0,1.0,1.0
89.117.12.48,2026-04-15,355752.0,1.0,0.7777777777777778
89.117.12.48,2026-04-16,7000.0,1.0,1.0
89.117.12.8,2026-04-13,190385.0,1.0,0.8
89.117.12.8,2026-04-14,365000.0,0.6234,1.4
89.117.12.8,2026-04-15,355761.0,0.5555555555555556,1.3333333333333333
89.117.12.8,2026-04-16,7000.0,1.0,1.0
89.117.12.9,2026-04-13,294462.0,0.9071666666666666,0.8333333333333334
89.117.12.9,2026-04-14,365000.0,0.8,1.2
89.117.12.9,2026-04-15,355752.0,0.6659999999999999,1.2222222222222223
89.117.12.9,2026-04-16,7000.0,1.0,1.0
91.223.3.150,2026-04-12,48000.0,0.25,1.75
91.223.3.150,2026-04-13,596560.0,1.0,0.2
91.223.3.150,2026-04-14,262080.0,0.9771666666666666,0.16666666666666666
91.223.3.150,2026-04-15,1502449.0,0.998923076923077,0.46153846153846156
91.223.3.150,2026-04-16,3258.0,1.0,0.0
91.223.3.186,2026-04-12,48000.0,0.25,1.75
91.223.3.186,2026-04-13,596560.0,0.9999,0.2
91.223.3.186,2026-04-14,262080.0,1.0,0.6666666666666666
91.223.3.186,2026-04-15,1502436.0,1.0002307692307693,0.46153846153846156
91.223.3.186,2026-04-16,3258.0,1.0,0.0
91.223.3.187,2026-04-12,48000.0,0.25,1.75
91.223.3.187,2026-04-13,596560.0,1.0,0.2
91.223.3.187,2026-04-14,262080.0,1.0,0.16666666666666666
91.223.3.187,2026-04-15,1502436.0,1.0002307692307693,0.46153846153846156
91.223.3.187,2026-04-16,3258.0,1.0,0.0
91.223.3.189,2026-04-12,48000.0,0.25,1.75
91.223.3.189,2026-04-13,596560.0,1.0,0.2
91.223.3.189,2026-04-14,262080.0,1.0,0.16666666666666666
91.223.3.189,2026-04-15,1502423.0,0.9997692307692307,0.6153846153846154
91.223.3.189,2026-04-16,3258.0,1.0,0.0
91.223.3.194,2026-04-12,48000.0,0.25,1.75
91.223.3.194,2026-04-13,596560.0,1.0,0.2
91.223.3.194,2026-04-14,262080.0,1.0,0.16666666666666666
91.223.3.194,2026-04-15,1502423.0,1.0002307692307693,0.46153846153846156
91.223.3.194,2026-04-16,3258.0,1.0,0.0
91.223.3.195,2026-04-12,48000.0,0.25,1.75
91.223.3.195,2026-04-13,596550.0,1.0,0.7
91.223.3.195,2026-04-14,262080.0,1.0,0.3333333333333333
91.223.3.195,2026-04-15,1502423.0,0.9944615384615385,0.46153846153846156
91.223.3.195,2026-04-16,3258.0,1.0,0.0
91.223.3.196,2026-04-12,48000.0,0.28225,1.75
91.223.3.196,2026-04-13,596550.0,0.9999,0.3
91.223.3.196,2026-04-14,262074.0,1.0,0.6666666666666666
91.223.3.196,2026-04-15,1502423.0,1.000076923076923,0.46153846153846156
91.223.3.196,2026-04-16,3258.0,1.0,0.0
91.223.3.197,2026-04-12,48000.0,0.25,1.75
91.223.3.197,2026-04-13,596550.0,1.0,0.2
91.223.3.197,2026-04-14,262074.0,1.0,0.16666666666666666
91.223.3.197,2026-04-15,1502423.0,1.000076923076923,0.46153846153846156
91.223.3.197,2026-04-16,3258.0,1.0,0.0
91.223.3.198,2026-04-12,48000.0,0.2725,1.75
91.223.3.198,2026-04-13,596550.0,1.0,0.4
91.223.3.198,2026-04-14,262074.0,1.0,0.16666666666666666
91.223.3.198,2026-04-15,1502423.0,1.000076923076923,0.46153846153846156
91.223.3.198,2026-04-16,3258.0,1.0,0.0
91.223.3.199,2026-04-12,48000.0,0.68825,1.25
91.223.3.199,2026-04-13,596540.0,1.0001,0.2
91.223.3.199,2026-04-14,262074.0,1.0,0.16666666666666666
91.223.3.199,2026-04-15,1502423.0,1.000076923076923,0.46153846153846156
91.223.3.199,2026-04-16,3257.0,1.0,0.0
91.223.3.200,2026-04-12,48000.0,0.75,1.25
91.223.3.200,2026-04-13,596540.0,1.0001,0.2
91.223.3.200,2026-04-14,262074.0,1.0,0.16666666666666666
91.223.3.200,2026-04-15,1502423.0,1.000076923076923,0.46153846153846156
91.223.3.200,2026-04-16,3257.0,1.0,0.0
91.223.3.204,2026-04-12,48000.0,0.75,1.25
91.223.3.204,2026-04-13,596540.0,1.0001,0.2
91.223.3.204,2026-04-14,262074.0,1.0,0.16666666666666666
91.223.3.204,2026-04-15,1502423.0,1.000076923076923,0.6153846153846154
91.223.3.204,2026-04-16,3257.0,1.0,0.0
91.223.3.208,2026-04-12,48000.0,0.75,1.25
91.223.3.208,2026-04-13,596540.0,1.0001,0.2
91.223.3.208,2026-04-14,262074.0,1.0,0.16666666666666666
91.223.3.208,2026-04-15,1502423.0,1.000076923076923,0.46153846153846156
91.223.3.208,2026-04-16,3257.0,1.0,0.0
91.223.3.209,2026-04-12,48000.0,0.7777499999999999,1.25
91.223.3.209,2026-04-13,596540.0,1.0001,0.2
91.223.3.209,2026-04-14,262068.0,1.0,0.16666666666666666
91.223.3.209,2026-04-15,1502423.0,1.000076923076923,0.46153846153846156
91.223.3.209,2026-04-16,3257.0,1.0,0.0
