ip,server,entity,first_used_at,first_sent_per_ip,first_r_sent_per_ip,first_error,first_limit,first_offset,first_launch_success
23.231.25.51,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,996,No error,3000,360000.0,1
23.231.25.52,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,996,No error,3000,360000.0,1
23.231.25.53,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,996,No error,3000,360000.0,1
23.231.25.54,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,996,No error,3000,360000.0,1
23.231.25.55,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,996,No error,3000,360000.0,1
23.231.25.56,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,996,No error,3000,360000.0,1
23.231.25.57,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,465,Rate limit DKIM,3000,360000.0,0
23.231.25.58,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,995,No error,3000,360000.0,1
23.231.25.59,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,995,No error,3000,360000.0,1
23.231.25.61,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,995,No error,3000,360000.0,1
23.231.25.62,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,995,No error,3000,360000.0,1
23.82.139.242,s_cmh2_6121,cmh2,2026-04-12 23:47:18,3200,3203,No error,3200,12.0,1
5.135.75.177,s_cmh8_3656,cmh8,2026-04-12 01:14:10,3100,3101,No error,9300,44700.0,1
5.135.75.178,s_cmh8_3656,cmh8,2026-04-12 01:26:10,2830,2834,No error,5660,60700.0,1
5.135.75.179,s_cmh8_3656,cmh8,2026-04-12 01:05:20,3900,3904,No error,11700,33000.0,1
5.135.75.180,s_cmh8_3656,cmh8,2026-04-12 01:20:11,3350,3352,No error,6700,54000.0,1
5.135.75.181,s_cmh8_3656,cmh8,2026-04-12 01:31:37,3900,0,No error,3900,66360.0,0
51.161.79.217,s_cmh2_6127,cmh2,2026-04-13 22:19:18,5100,5103,No error,5100,19312.0,1
51.254.12.38,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,4802,No error,15600,249200.0,1
51.254.12.39,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,4801,No error,15600,249200.0,1
51.254.12.40,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,4801,No error,15600,249200.0,1
51.254.12.41,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,4801,No error,15600,249200.0,1
51.68.222.162,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,3002,No error,3000,6412.0,1
51.75.164.228,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,3002,No error,3000,6412.0,1
51.75.165.100,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,3001,No error,3000,6412.0,1
51.75.165.108,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,3001,No error,3000,6412.0,1
69.162.64.210,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,4802,No error,20800,249200.0,1
69.162.64.212,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,4802,No error,20800,249200.0,1
69.162.64.213,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,4801,No error,20800,249200.0,1
69.162.64.214,s_cmh11_1388,cmh11,2026-04-12 21:59:19,5200,5202,No error,18200,65000.0,1
89.116.64.219,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.116.64.220,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.116.64.240,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,5608,Other,6000,234000.0,0
89.117.12.14,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.117.12.18,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.117.12.21,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.117.12.26,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.117.12.28,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.117.12.45,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
