campaign_id,datetime_gride,sent_gride,r_sent_gride,servers_list,nb_servers
25642729.0,2026-04-13 10:22:19,45000.0,20124.0,['s_cmh6_5940'],1
25642941.0,2026-04-13 10:37:19,222929.0,104624.0,['s_cmh6_5940'],1
25643163.0,2026-04-13 10:51:23,230000.0,102999.0,['s_cmh6_5940'],1
25648185.0,2026-04-13 13:44:32,38400.0,25150.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25652225.0,2026-04-13 15:41:18,9840.0,9846.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25652484.0,2026-04-13 15:49:18,11400.0,11392.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25652707.0,2026-04-13 15:55:18,9840.0,9852.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25652856.0,2026-04-13 16:01:18,14400.0,9608.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25653577.0,2026-04-13 16:13:18,15000.0,15011.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25653706.0,2026-04-13 16:17:18,9900.0,9906.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25654003.0,2026-04-13 16:25:18,11550.0,11556.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25654180.0,2026-04-13 16:29:49,9990.0,10002.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25654714.0,2026-04-13 16:37:20,14700.0,9807.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25655162.0,2026-04-13 16:49:19,15300.0,15310.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25655234.0,2026-04-13 16:50:57,81000.0,81002.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25655297.0,2026-04-13 16:53:18,9960.0,9966.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25655364.0,2026-04-13 16:57:23,82500.0,82519.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25655554.0,2026-04-13 17:01:17,11700.0,11706.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25655902.0,2026-04-13 17:07:17,10140.0,10152.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25656275.0,2026-04-13 17:13:17,15000.0,10006.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25656376.0,2026-04-13 17:17:21,108000.0,108009.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25656609.0,2026-04-13 17:24:18,85250.0,85269.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25656628.0,2026-04-13 17:25:18,15600.0,15608.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25656775.0,2026-04-13 17:31:18,10020.0,10026.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25657116.0,2026-04-13 17:35:19,11850.0,11855.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25657345.0,2026-04-13 17:40:13,135000.0,135002.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25657438.0,2026-04-13 17:43:17,10290.0,9707.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25657657.0,2026-04-13 17:49:18,88000.0,88011.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25657658.0,2026-04-13 17:49:19,15300.0,10207.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25658029.0,2026-04-13 18:01:17,15900.0,15912.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25658335.0,2026-04-13 18:05:18,162000.0,162008.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25658432.0,2026-04-13 18:07:17,10080.0,10084.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25658774.0,2026-04-13 18:13:17,12000.0,7237.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25658803.0,2026-04-13 18:14:18,90750.0,90765.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25658975.0,2026-04-13 18:19:18,6960.0,3906.0,"['s_cmh8_3617', 's_cmh8_3656']",2
25658978.0,2026-04-13 18:19:19,72000.0,71608.0,['s_cmh9_5702'],1
25659064.0,2026-04-13 18:23:12,15600.0,5218.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25659387.0,2026-04-13 18:32:19,138920.0,138923.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25659698.0,2026-04-13 18:35:12,16200.0,16211.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25659866.0,2026-04-13 18:39:18,26420.0,26439.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372']",3
25659921.0,2026-04-13 18:41:12,10140.0,10146.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25659994.0,2026-04-13 18:43:18,84000.0,84005.0,['s_cmh9_5702'],1
25660172.0,2026-04-13 18:47:13,8100.0,6308.0,"['s_cmh8_3617', 's_cmh8_3656']",2
25660376.0,2026-04-13 18:53:12,3530.0,106.0,['s_cmh8_3617'],1
25660532.0,2026-04-13 18:57:19,216000.0,215995.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25660631.0,2026-04-13 18:59:14,5300.0,0.0,['s_cmh8_3656'],1
25660880.0,2026-04-13 19:04:17,87500.0,87517.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372']",3
25661081.0,2026-04-13 19:08:19,72920.0,72743.0,['s_cmh9_5702'],1
25661318.0,2026-04-13 19:11:14,8230.0,8236.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25661561.0,2026-04-13 19:17:12,10200.0,10206.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25661752.0,2026-04-13 19:22:19,243000.0,243000.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25661776.0,2026-04-13 19:23:12,4100.0,909.0,['s_cmh8_3617'],1
25661903.0,2026-04-13 19:29:08,3580.0,25.0,['s_cmh8_3617'],1
25661908.0,2026-04-13 19:29:17,90000.0,90017.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372']",3
25662114.0,2026-04-13 19:33:18,108000.0,108005.0,['s_cmh9_5702'],1
25662319.0,2026-04-13 19:35:12,5400.0,0.0,['s_cmh8_3656'],1
25662701.0,2026-04-13 19:47:12,16800.0,16812.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25662707.0,2026-04-13 19:47:19,21920.0,21932.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25662941.0,2026-04-13 19:53:12,10260.0,10263.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25662985.0,2026-04-13 19:54:17,92500.0,92508.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372']",3
25663075.0,2026-04-13 19:58:18,120000.0,119423.0,['s_cmh9_5702'],1
25663093.0,2026-04-13 19:59:07,4150.0,2822.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25663361.0,2026-04-13 20:05:08,3630.0,2530.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25663727.0,2026-04-13 20:11:12,5500.0,0.0,['s_cmh8_3656'],1
25663744.0,2026-04-13 20:12:19,252920.0,252905.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25664082.0,2026-04-13 20:19:19,95000.0,95014.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372']",3
25664175.0,2026-04-13 20:23:12,17100.0,17112.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25664179.0,2026-04-13 20:23:18,121000.0,114877.0,['s_cmh9_5702'],1
25664324.0,2026-04-13 20:29:12,10320.0,6883.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25664766.0,2026-04-13 20:35:08,4200.0,2804.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25664849.0,2026-04-13 20:37:19,251920.0,251910.0,"['s_cmh9_5687', 's_cmh9_5689']",2
25664965.0,2026-04-13 20:41:07,3680.0,2460.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25665041.0,2026-04-13 20:44:17,7920.0,7939.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372']",3
25665116.0,2026-04-13 20:47:12,5600.0,0.0,['s_cmh8_3656'],1
25665150.0,2026-04-13 20:48:18,84000.0,74253.0,['s_cmh9_5702'],1
25665469.0,2026-04-13 20:59:12,17400.0,17412.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25665730.0,2026-04-13 21:05:12,10380.0,6923.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25666055.0,2026-04-13 21:11:07,4250.0,2832.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25666239.0,2026-04-13 21:17:08,3730.0,2493.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25666548.0,2026-04-13 21:23:12,5700.0,0.0,['s_cmh8_3656'],1
25667759.0,2026-04-13 22:03:00,69500.0,46550.0,['s_cmh2_6101'],1
25667938.0,2026-04-13 22:07:17,6400.0,6405.0,['s_cmh2_6121'],1
25668323.0,2026-04-13 22:14:17,6500.0,6506.0,['s_cmh2_6145'],1
25668537.0,2026-04-13 22:19:18,10200.0,10206.0,['s_cmh2_6127'],1
25669478.0,2026-04-13 22:39:17,45300.0,45306.0,['s_cmh2_6101'],1
25669552.0,2026-04-13 22:42:17,6400.0,6405.0,['s_cmh2_6121'],1
25669725.0,2026-04-13 22:49:17,7000.0,7003.0,['s_cmh2_6145'],1
25669859.0,2026-04-13 22:54:53,10200.0,9389.0,['s_cmh2_6127'],1
25670750.0,2026-04-13 23:14:17,45900.0,45901.0,['s_cmh2_6101'],1
25670858.0,2026-04-13 23:17:17,7066.0,7072.0,['s_cmh2_6121'],1
25671116.0,2026-04-13 23:24:17,7666.0,7672.0,['s_cmh2_6145'],1
25671380.0,2026-04-13 23:31:17,5433.0,5439.0,['s_cmh2_6127'],1
25672148.0,2026-04-13 23:49:17,46500.0,46497.0,['s_cmh2_6101'],1
25672224.0,2026-04-13 23:52:17,7066.0,7072.0,['s_cmh2_6121'],1
25672429.0,2026-04-13 23:59:17,8332.0,8338.0,['s_cmh2_6145'],1
25672632.0,2026-04-14 00:06:17,5433.0,5439.0,['s_cmh2_6127'],1
25673186.0,2026-04-14 00:24:17,47100.0,47101.0,['s_cmh2_6101'],1
25673219.0,2026-04-14 00:27:17,7732.0,7738.0,['s_cmh2_6121'],1
25673618.0,2026-04-14 00:34:17,8998.0,9004.0,['s_cmh2_6145'],1
25673847.0,2026-04-14 00:39:18,5766.0,5772.0,['s_cmh2_6127'],1
25674252.0,2026-04-14 00:59:18,49500.0,0.0,['s_cmh2_6101'],1
25674279.0,2026-04-14 01:00:19,7732.0,7738.0,['s_cmh2_6121'],1
25674629.0,2026-04-14 01:09:17,9664.0,9670.0,['s_cmh2_6145'],1
25674808.0,2026-04-14 01:16:17,5766.0,5771.0,['s_cmh2_6127'],1
25675321.0,2026-04-14 01:34:17,55500.0,55497.0,['s_cmh2_6101'],1
25675394.0,2026-04-14 01:36:47,8398.0,8403.0,['s_cmh2_6121'],1
25675621.0,2026-04-14 01:43:09,10330.0,10336.0,['s_cmh2_6127'],1
25675809.0,2026-04-14 01:50:18,26700.0,25063.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25675822.0,2026-04-14 01:51:17,6099.0,6105.0,['s_cmh2_6127'],1
25675935.0,2026-04-14 01:59:17,24240.0,16162.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25676142.0,2026-04-14 02:06:17,24150.0,23992.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25676269.0,2026-04-14 02:09:17,7191.0,7195.0,['s_cmh2_6101'],1
25676346.0,2026-04-14 02:12:17,9398.0,9403.0,['s_cmh2_6121'],1
25676388.0,2026-04-14 02:13:17,20340.0,19900.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25676534.0,2026-04-14 02:19:17,23700.0,7904.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25676533.0,2026-04-14 02:19:17,11096.0,11100.0,['s_cmh2_6145'],1
25676650.0,2026-04-14 02:26:17,6099.0,6103.0,['s_cmh2_6127'],1
25676689.0,2026-04-14 02:28:17,15800.0,15806.0,"['s_cmh8_3583', 's_cmh8_3617']",2
25677077.0,2026-04-14 02:35:17,23490.0,13056.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25677209.0,2026-04-14 02:42:17,24900.0,1107.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25677278.0,2026-04-14 02:44:17,63000.0,47984.0,['s_cmh2_6101'],1
25677370.0,2026-04-14 02:47:17,10064.0,9877.0,['s_cmh2_6121'],1
25677414.0,2026-04-14 02:49:17,7030.0,71.0,['s_cmh8_3617'],1
25677490.0,2026-04-14 02:54:17,11762.0,11764.0,['s_cmh2_6145'],1
25677500.0,2026-04-14 02:55:17,8150.0,0.0,['s_cmh8_3656'],1
25677590.0,2026-04-14 03:01:17,6432.0,2381.0,['s_cmh2_6127'],1
25677646.0,2026-04-14 03:04:17,16300.0,16308.0,"['s_cmh8_3583', 's_cmh8_3617']",2
25677828.0,2026-04-14 03:11:17,12122.0,1137.0,"['s_cmh8_3617', 's_cmh8_3656']",2
25677950.0,2026-04-14 03:18:17,8550.0,0.0,['s_cmh8_3656'],1
25677974.0,2026-04-14 03:19:17,66000.0,21606.0,['s_cmh2_6101'],1
25678019.0,2026-04-14 03:22:17,5032.0,3228.0,['s_cmh2_6121'],1
25678039.0,2026-04-14 03:23:17,7280.0,0.0,['s_cmh8_3656'],1
25678126.0,2026-04-14 03:29:17,12428.0,12434.0,['s_cmh2_6145'],1
