datetime_drop,server,ip,limit,outSum,by_ip,totalIps,error_type_from_error
2026-04-15 23:39:01,s_cmh2_6101,107.6.171.230,0,205686.0,0,3,Connection closed
2026-04-15 23:39:01,s_cmh2_6101,107.6.171.230,0,205686.0,0,3,Rate limit SPF
2026-04-16 12:59:00,s_cmh2_6101,107.6.171.230,11000,58146.0,3667,3,Connection closed
2026-04-16 12:59:00,s_cmh2_6101,107.6.171.230,11000,58146.0,3667,3,Rate limit unsolicited
2026-04-16 13:34:00,s_cmh2_6101,107.6.171.230,11000,38877.0,3667,3,Rate limit unsolicited
2026-04-16 13:34:00,s_cmh2_6101,107.6.171.230,11000,38877.0,3667,3,Connection closed
2026-04-16 14:09:00,s_cmh2_6101,107.6.171.230,11000,32116.0,3667,3,Connection closed
2026-04-16 14:09:00,s_cmh2_6101,107.6.171.230,11000,32116.0,3667,3,Rate limit unsolicited
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.230,11000,39069.0,3667,3,Connection closed
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.230,11000,39069.0,3667,3,Rate limit unsolicited
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.230,11000,39069.0,3667,3,Connection closed
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.230,11000,39069.0,3667,3,Rate limit unsolicited
2026-04-17 00:55:00,s_cmh2_6101,107.6.171.230,11000,59893.0,3667,3,Connection closed
2026-04-17 00:55:00,s_cmh2_6101,107.6.171.230,11000,59893.0,3667,3,Rate limit SPF
2026-04-17 01:09:00,s_cmh2_6121,23.108.51.14,9600,6314.0,2400,4,Rate limit unsolicited
2026-04-17 01:09:00,s_cmh2_6121,23.108.51.14,9600,6314.0,2400,4,Connection closed
2026-04-17 01:09:00,s_cmh2_6121,23.108.51.14,9600,6314.0,2400,4,Rate limit SPF
2026-04-17 01:09:00,s_cmh2_6121,23.108.51.251,9600,6314.0,2400,4,Rate limit unsolicited
2026-04-17 01:09:00,s_cmh2_6121,23.108.51.251,9600,6314.0,2400,4,Connection closed
2026-04-17 01:09:00,s_cmh2_6121,23.108.51.251,9600,6314.0,2400,4,Rate limit SPF
2026-04-14 02:50:00,s_cmh2_6121,23.19.114.9,10064,9877.0,5032,2,Rate limit SPF
2026-04-14 02:50:00,s_cmh2_6121,23.19.114.9,10064,9877.0,5032,2,Rate limit DKIM
2026-04-14 13:45:11,s_cmh2_6121,23.19.114.9,6000,17.0,3000,2,Rate limit SPF
2026-04-14 13:45:11,s_cmh2_6121,23.19.114.9,6000,17.0,3000,2,Connection closed
2026-04-14 13:45:11,s_cmh2_6121,23.19.114.9,6000,17.0,3000,2,Rate limit SPF
2026-04-14 13:45:11,s_cmh2_6121,23.19.114.9,6000,17.0,3000,2,Connection closed
2026-04-15 10:48:06,s_cmh2_6121,23.19.114.9,6000,4805.0,3000,2,Rate limit SPF
2026-04-15 10:48:06,s_cmh2_6121,23.19.114.9,6000,4805.0,3000,2,Rate limit DKIM
2026-04-15 10:48:06,s_cmh2_6121,23.19.114.9,6000,4805.0,3000,2,Rate limit SPF
2026-04-15 10:48:06,s_cmh2_6121,23.19.114.9,6000,4805.0,3000,2,Rate limit DKIM
2026-04-15 11:13:13,s_cmh2_6121,23.19.114.9,3000,2539.0,3000,1,Rate limit SPF
2026-04-15 11:13:13,s_cmh2_6121,23.19.114.9,3000,2539.0,3000,1,Rate limit DKIM
2026-04-15 11:13:13,s_cmh2_6121,23.19.114.9,3000,2539.0,3000,1,Rate limit SPF
2026-04-15 11:13:13,s_cmh2_6121,23.19.114.9,3000,2539.0,3000,1,Rate limit DKIM
2026-04-16 13:02:02,s_cmh2_6121,23.19.114.9,14000,14148.0,7000,2,Other
2026-04-16 13:26:08,s_cmh2_6121,23.19.114.9,16000,14562.0,8000,2,Connection closed
2026-04-16 13:26:08,s_cmh2_6121,23.19.114.9,16000,14562.0,8000,2,Rate limit SPF
2026-04-16 13:26:08,s_cmh2_6121,23.19.114.9,16000,14562.0,8000,2,Rate limit DKIM
2026-04-16 15:44:03,s_cmh2_6121,23.19.114.9,12000,498.0,6000,2,Connection closed
2026-04-16 15:44:03,s_cmh2_6121,23.19.114.9,12000,498.0,6000,2,Rate limit SPF
2026-04-16 16:08:01,s_cmh2_6121,23.19.114.9,12000,303.0,6000,2,Rate limit SPF
2026-04-16 16:08:01,s_cmh2_6121,23.19.114.9,12000,303.0,6000,2,Rate limit DKIM
2026-04-16 16:08:01,s_cmh2_6121,23.19.114.9,12000,303.0,6000,2,Connection closed
2026-04-14 03:25:00,s_cmh2_6121,23.82.139.242,5032,3650.0,5032,1,Rate limit SPF
